City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,pisco,-13.7,-76.2167,21.03,88,0,6.17,PE,1682223411
325,muriae,-21.1306,-42.3664,18.8,96,70,0.94,BR,1682223636
326,papao,-17.75,-149.55,27.82,84,100,10.9,PF,1682223637
327,zykovo,55.9519,93.1461,9.44,46,13,1.01,RU,1682223637
328,lerwick,60.1545,-1.1494,6.0,76,100,15.53,GB,1682223462
329,erenhot,43.6475,111.9767,11.71,11,100,6.09,CN,1682223637
330,saint-louis du nord,19.9333,-72.7167,24.57,79,13,2.52,HT,1682223637
331,ilhabela,-23.7781,-45.3581,20.31,89,14,1.42,BR,1682223637
332,urucui,-7.2294,-44.5561,23.97,72,59,1.89,BR,1682223638
333,diyadin,39.5406,43.6713,7.05,54,61,1.03,TR,1682223638
334,kalmunai,7.4167,81.8167,28.56,78,97,1.02,LK,1682223638
335,qarqaraly,49.4058,75.4742,9.45,27,100,5.52,KZ,1682223638
336,barah,13.7,30.3667,25.86,15,71,2.95,SD,1682223638
337,mugia,43.1041,-9.2179,15.65,94,83,8.23,ES,1682223638
338,donggang,28.9365,114.2259,11.45,93,100,1.58,CN,1682223638
339,goure,13.9835,10.2704,28.36,18,2,4.54,NE,1682223639
340,mirnyy,62.5353,113.9611,0.69,31,7,1.79,RU,1682223639
341,greymouth,-42.4667,171.2,15.04,85,100,3.54,NZ,1682223639
342,qamdo,31.1667,97.2333,7.45,22,50,5.08,CN,1682223639
343,nova xavantina,-14.6667,-52.35,21.75,98,67,1.14,BR,1682223639
344,medebach,51.2,8.7167,9.54,93,100,2.25,DE,1682223639
345,tacuba,13.9011,-89.9297,23.46,90,50,1.37,SV,1682223640
346,la reforma,25.0833,-108.05,21.78,55,0,0.34,MX,1682223640
347,sakakah,29.9697,40.2064,21.76,39,18,2.09,SA,1682223640
348,san pedro,14.35,121.0167,33.57,60,20,3.09,PH,1682223640
349,galappo,-4.2667,35.85,16.46,97,100,0.22,TZ,1682223640
350,kedougou,12.5579,-12.1743,29.32,26,0,1.03,SN,1682223640
351,jiazi,22.8779,116.067,22.96,83,100,5.38,CN,1682223640
352,guerrero negro,27.9769,-114.0611,15.87,78,0,5.7,MX,1682223640
353,trinidad,-14.8333,-64.9,21.75,80,81,1.94,BO,1682223640
354,hovd,48.0056,91.6419,3.76,29,100,3.1,MN,1682223641
355,caluula,11.9661,50.7569,27.49,73,99,3.79,SO,1682223641
356,bria,6.5423,21.9863,20.52,92,100,1.51,CF,1682223641
357,cody,44.5263,-109.0565,2.12,58,0,1.54,US,1682223641
358,marion,39.7684,-86.1555,5.58,66,100,5.14,US,1682223641
359,melfort,52.8667,-104.6177,1.07,64,80,1.54,CA,1682223415
360,nevel'sk,46.6733,141.8633,1.65,73,94,7.57,RU,1682223641
361,sipalay,9.75,122.5,32.73,55,94,2.15,PH,1682223642
